pH,temperature,gas_level,weight_kg,voltage,energy_mJ
4.23,35.1,692,239895217.503,1.144,0.3272
8.03,23.2,436,828056728.992,0.893,0.1994
7.33,20.3,555,673269440.467,0.959,0.2299
7.42,43.8,410,874748839.326,0.898,0.2016
7.68,25.6,431,897301889.175,1.039,0.2699
5.2,42.0,653,985840445.408,0.948,0.2247
6.14,39.8,419,588629726.879,1.058,0.2798
5.92,23.6,681,444466565.488,1.1,0.3025
4.65,35.2,747,114844203.425,1.197,0.3582
7.79,30.4,686,624676831.941,1.333,0.4442
6.71,24.7,548,682166443.59,1.148,0.3295
6.61,20.6,490,676894256.816,1.016,0.2581
9.43,35.4,523,652591724.117,1.007,0.2535
9.38,21.9,554,761850068.137,0.73,0.1332
7.36,35.0,395,739786348.888,1.212,0.3672
5.79,37.8,689,562153957.985,1.209,0.3654
5.15,22.9,655,796369567.018,0.981,0.2406
7.85,33.4,551,851939103.258,1.289,0.4154
4.08,41.4,567,746523776.509,0.813,0.1652
8.93,38.3,483,259980578.844,0.905,0.2048
7.97,39.3,688,867341346.914,1.062,0.282
3.66,23.2,536,396648289.332,0.772,0.149
9.08,29.0,640,983161129.013,1.115,0.3108
5.32,40.2,401,495568060.055,0.938,0.22
6.72,41.3,457,444065112.835,1.016,0.2581
6.41,22.9,612,497810121.492,1.1,0.3025
3.43,22.7,510,37058976.019,0.68,0.1156
3.79,27.1,582,996710194.512,0.993,0.2465
9.46,25.4,459,333998389.027,0.826,0.1706
6.95,40.9,547,995991643.018,1.054,0.2777
6.11,35.1,572,260837795.908,1.312,0.4303
5.93,26.8,704,106317532.702,1.233,0.3801
9.17,26.5,436,819282537.867,0.913,0.2084
7.88,35.9,624,859283277.831,1.201,0.3606
8.19,40.4,310,346554458.016,0.833,0.1735
8.31,44.9,347,526254343.971,0.767,0.1471
3.68,33.0,317,165339848.396,1.031,0.2657
8.1,42.9,666,646564819.123,0.913,0.2084
8.3,23.5,324,600876099.349,0.829,0.1718
7.91,22.3,765,379554548.27,0.978,0.2391
7.8,26.0,369,820108521.096,1.019,0.2596
8.05,25.1,489,13096990.316,0.936,0.219
6.27,28.8,494,698892851.744,1.31,0.429
2.55,33.7,467,455755240.526,0.943,0.2223
7.75,23.9,421,708294025.211,0.948,0.2247
8.83,24.0,446,863435793.319,0.843,0.1777
6.15,44.4,786,519429097.426,1.096,0.3003
6.47,27.3,382,612601716.894,1.221,0.3727
4.36,20.5,564,581767445.834,0.813,0.1652
3.41,22.0,462,667400956.854,0.67,0.1122
9.48,20.1,784,176816245.719,0.784,0.1537
4.25,34.5,552,784201794.013,1.138,0.3238
7.38,39.6,767,881829665.659,1.145,0.3278
7.75,43.9,457,101157426.321,0.848,0.1798
2.94,27.7,520,588942747.366,0.893,0.1994
6.8,24.9,795,175467718.793,1.22,0.3721
7.76,39.2,413,58766848.675,0.948,0.2247
7.44,25.6,741,389908366.913,1.17,0.3422
7.96,41.6,704,638049585.953,0.961,0.2309
3.39,38.4,655,508669185.328,0.898,0.2016
