pH,temperature,gas_level,weight_kg,voltage,energy
5.46,34.4,356,239635184.369,0.825,0.034031
7.48,36.9,695,652369719.841,0.849,0.03604
3.73,21.3,675,726289643.359,0.558,0.015568
8.19,36.8,767,412173785.057,0.812,0.032967
6.59,37.6,695,87084090.493,0.875,0.038281
7.06,41.7,733,315778321.154,0.739,0.027306
6.07,44.0,674,557788905.062,0.731,0.026718
3.47,37.7,504,445321936.608,0.62,0.01922
3.11,42.6,484,24036231.285,0.431,0.009288
4.51,29.0,772,893738364.559,0.853,0.03638
3.23,23.3,622,211961347.585,0.534,0.014258
4.73,35.5,498,110123205.743,0.765,0.029261
4.69,37.8,397,512149525.981,0.683,0.023324
3.76,35.3,478,306585757.314,0.704,0.024781
9.49,31.4,655,756511183.969,0.819,0.033538
8.64,26.0,670,648578666.86,0.723,0.026136
7.86,41.3,692,67499175.842,0.666,0.022178
8.37,21.4,300,663645571.409,0.531,0.014098
2.53,27.0,735,589119181.47,0.631,0.019908
4.76,24.0,606,667539869.904,0.677,0.022916
3.19,43.9,518,865665765.156,0.48,0.01152
4.61,35.1,715,601368070.339,0.839,0.035196
4.42,32.5,702,435753942.331,0.896,0.040141
8.5,33.0,419,971842569.435,0.824,0.033949
2.88,35.7,543,941275810.367,0.653,0.02132
5.69,35.2,700,265782125.51,0.905,0.040951
7.85,32.0,428,973876338.857,0.905,0.040951
6.93,22.0,602,520765713.605,0.712,0.025347
4.85,31.7,667,130290909.428,0.914,0.04177
5.56,25.3,679,924359746.864,0.797,0.03176
7.19,34.1,522,714628906.763,0.913,0.041678
7.64,35.9,761,691756149.072,0.884,0.039073
3.48,24.1,398,242770289.507,0.522,0.013624
4.96,42.1,609,342022255.367,0.626,0.019594
2.9,25.2,602,693655120.063,0.573,0.016416
8.06,29.4,574,526475935.238,0.842,0.035448
8.01,26.6,469,941888121.449,0.741,0.027454
3.17,35.9,724,443574808.828,0.706,0.024922
4.89,41.9,585,347531912.443,0.618,0.019096
8.61,34.4,761,251346897.535,0.847,0.03587
7.34,36.9,428,839056965.973,0.795,0.031601
8.23,33.2,693,246361700.453,0.894,0.039962
7.1,24.5,791,411187730.092,0.819,0.033538
5.83,35.7,641,455102517.44,0.891,0.039694
5.51,39.3,757,996919823.956,0.796,0.031681
6.34,32.9,506,145846754.522,0.969,0.046948
2.7,38.8,686,960548693.007,0.582,0.016936
5.01,40.3,452,672924033.762,0.648,0.020995
6.31,36.4,399,686289820.398,0.85,0.036125
8.85,38.7,566,619169069.019,0.66,0.02178
4.24,34.7,471,699117545.859,0.764,0.029185
4.39,36.0,703,478893660.283,0.79,0.031205
4.08,24.5,301,783950792.054,0.566,0.016018
5.87,43.7,589,824109125.951,0.698,0.02436
4.1,31.2,453,302459516.483,0.798,0.03184
3.28,37.5,628,469576953.142,0.643,0.020672
9.45,24.4,403,332674199.863,0.541,0.014634
3.92,22.1,709,79364000.32,0.562,0.015792
6.85,23.7,431,373389696.599,0.723,0.026136
7.62,38.7,428,718967702.313,0.719,0.025848
8.7,27.5,396,900581543.926,0.698,0.02436
3.61,21.2,729,380005386.915,0.556,0.015457
4.14,41.1,346,944234019.861,0.536,0.014365
8.94,31.1,579,951564427.072,0.834,0.034778
3.95,34.7,576,287024122.592,0.76,0.02888
6.26,31.5,570,258355912.311,0.996,0.049601
5.4,38.7,426,662017108.106,0.719,0.025848
4.55,25.9,611,506616255.288,0.717,0.025704
5.05,35.4,357,217042944.395,0.764,0.029185
6.5,34.6,473,735217340.676,0.937,0.043898
6.05,24.7,333,651939804.707,0.726,0.026354
9.22,41.6,429,453541825.874,0.508,0.012903
6.13,32.8,548,213520673.613,0.97,0.047045
6.75,41.3,679,529037809.141,0.766,0.029338
7.62,32.9,642,427019141.636,0.941,0.044274
9.1,23.8,402,512697576.815,0.553,0.01529
7.94,42.9,346,575175738.38,0.573,0.016416
2.6,40.9,650,119724633.166,0.483,0.011664
4.64,27.2,310,517197337.91,0.688,0.023667
7.85,25.8,591,762733313.261,0.758,0.028728
3.53,37.3,524,432550003.599,0.641,0.020544
4.11,24.0,479,49772304.666,0.572,0.016359
2.8,35.4,460,146283819.506,0.617,0.019034
4.92,24.6,441,467580730.67,0.662,0.021912
2.56,28.5,442,30449003.59,0.576,0.016589
